Food,Index,Calories,Cholesterol,Total_Fat,Sodium,Carbohydrates,Dietary_Fiber,Protein,Vit_A,Vit_C,Calcium,Iron,Price/Serving ($)
Frozen Broccoli,1,73.8,0,0.8,68.2,13.6,8.5,8,5867.4,160.2,159,2.3,0.16
"Carrots,Raw",2,23.7,0,0.1,19.2,5.6,1.6,0.6,15471,5.1,14.9,0.3,0.07
"Celery, Raw",3,6.4,0,0.1,34.8,1.5,0.7,0.3,53.6,2.8,16,0.2,0.04
Frozen Corn,4,72.2,0,0.6,2.5,17.1,2,2.5,106.6,5.2,3.3,0.3,0.18
"Lettuce,Iceberg,Raw",5,2.6,0,0,1.8,0.4,0.3,0.2,66,0.8,3.8,0.1,0.02
"Peppers, Sweet, Raw",6,20,0,0.1,1.5,4.8,1.3,0.7,467.7,66.1,6.7,0.3,0.53
"Potatoes, Baked",7,171.5,0,0.2,15.2,39.9,3.2,3.7,0,15.6,22.7,4.3,0.06
Tofu,8,88.2,0,5.5,8.1,2.2,1.4,9.4,98.6,0.1,121.8,6.2,0.31
Roasted Chicken,9,277.4,129.9,10.8,125.6,0,0,42.2,77.4,0,21.9,1.8,0.84
Spaghetti W/ Sauce,10,358.2,0,12.3,1237.1,58.3,11.6,8.2,3055.2,27.9,80.2,2.3,0.78
"Tomato,Red,Ripe,Raw",11,25.8,0,0.4,11.1,5.7,1.4,1,766.3,23.5,6.2,0.6,0.27
"Apple,Raw,W/Skin",12,81.4,0,0.5,0,21,3.7,0.3,73.1,7.9,9.7,0.2,0.24
Banana,13,104.9,0,0.5,1.1,26.7,2.7,1.2,92.3,10.4,6.8,0.4,0.15
Grapes,14,15.1,0,0.1,0.5,4.1,0.2,0.2,24,1,3.4,0.1,0.32
"Kiwifruit,Raw,Fresh",15,46.4,0,0.3,3.8,11.3,2.6,0.8,133,74.5,19.8,0.3,0.49
Oranges,16,61.6,0,0.2,0,15.4,3.1,1.2,268.6,69.7,52.4,0.1,0.15
Bagels,17,78,0,0.5,151.4,15.1,0.6,3,0,0,21,1,0.16
Wheat Bread,18,65,0,1,134.5,12.4,1.3,2.2,0,0,10.8,0.7,0.05
White Bread,19,65,0,1,132.5,11.8,1.1,2.3,0,0,26.2,0.8,0.06
Oatmeal Cookies,20,81,0,3.3,68.9,12.4,0.6,1.1,2.9,0.1,6.7,0.5,0.09
Apple Pie,21,67.2,0,3.1,75.4,9.6,0.5,0.5,35.2,0.9,3.1,0.1,0.16
Chocolate Chip Cookies,22,78.1,5.1,4.5,57.8,9.3,0,0.9,101.8,0,6.2,0.4,0.03
"Butter,Regular",23,35.8,10.9,4.1,41.3,0,0,0,152.9,0,1.2,0,0.05
Cheddar Cheese,24,112.7,29.4,9.3,173.7,0.4,0,7,296.5,0,202,0.2,0.25
"3.3% Fat,Whole Milk",25,149.9,33.2,8.1,119.6,11.4,0,8,307.4,2.3,291.3,0.1,0.16
2% Lowfat Milk,26,121.2,18.3,4.7,121.8,11.7,0,8.1,500.2,2.3,296.7,0.1,0.23
Skim Milk,27,85.5,4.4,0.4,126.2,11.9,0,8.4,499.8,2.4,302.3,0.1,0.13
Poached Eggs,28,74.5,211.5,5,140,0.6,0,6.2,316,0,24.5,0.7,0.08
Scrambled Eggs,29,99.6,211.2,7.3,168,1.3,0,6.7,409.2,0.1,42.6,0.7,0.11
"Bologna,Turkey",30,56.4,28.1,4.3,248.9,0.3,0,3.9,0,0,23.8,0.4,0.15
"Frankfurter, Beef",31,141.8,27.4,12.8,461.7,0.8,0,5.4,0,10.8,9,0.6,0.27
"Ham,Sliced,Extralean",32,37.1,13.3,1.4,405.1,0.3,0,5.5,0,7.4,2,0.2,0.33
"Kielbasa,Prk",33,80.6,17.4,7.1,279.8,0.6,0,3.4,0,5.5,11.4,0.4,0.15
Cap'N Crunch,34,119.6,0,2.6,213.3,23,0.5,1.4,40.6,0,4.8,7.5,0.31
Cheerios,35,111,0,1.8,307.6,19.6,2,4.3,1252.2,15.1,48.6,4.5,0.28
"Corn Flks, Kellogg'S",36,110.5,0,0.1,290.5,24.5,0.7,2.3,1252.2,15.1,0.9,1.8,0.28
"Raisin Brn, Kellg'S",37,115.1,0,0.7,204.4,27.9,4,4,1250.2,0,12.9,16.8,0.34
Rice Krispies,38,112.2,0,0.2,340.8,24.8,0.4,1.9,1252.2,15.1,4,1.8,0.32
