Year,	Time,	Athlete	,Place
1972,	10.07,	 Valeriy Borzov (URS),	Munich
1973,	10.15,	 Steve Williams (USA),	Dakar
1974,	9.9,	 Steve Williams (USA),	Los Angeles
1975,	10.05,	 Steve Riddick (USA),	ZUrich
1976,	10.06,	 Hasely Crawford (TRI),	Montreal
1977,	9.98,	 Silvio Leonard (CUB),	Guadalajara
1978,	10.07, Clancy Edwards (USA) ,Eugene 
     ,        ,    Eddie Hart (USA) ,  Colorado Springs(A)
      ,       ,    Steve Williams (USA) ,   ZUrich	
1979,	10.01,	 Pietro Mennea (ITA),	Ciudad de Mexico
1980,	10.02,	 James Sanford (USA),	Westwood
1981,	10.00,	 Carl Lewis (USA),	Dallas
1982,	10.00	, Carl Lewis (USA),	Modesto
1983,	9.93	, Calvin Smith (USA),	Colorado Springs
1984,	9.96	, Mel Lattany (USA),	Athens
1985,	9.98,	 Carl Lewis (USA),	Modesto
1986,	10.00,	 Chidi Imoh (NGR),	Berlin
1987,	9.93,	 Carl Lewis (USA),	Rome
1988,	9.92,	 Carl Lewis (USA),	Seoul
1989,	9.94,	 Leroy Burrell (USA),	Houston
1990,	9.96,	 Leroy Burrell (USA),	Villeneuve d'Ascq; Sestriere(A)
1991,	9.86,	 Carl Lewis (USA),	Tokyo
1992,	9.93,	 Michael Marsh (USA),	Walnut
1993,	9.87,	 Linford Christie (GBR),	Stuttgart
1994,	9.85,	 Leroy Burrell (USA),	Lausanne
1995,	9.91,	 Donovan Bailey (CAN),	Montreal
1996,	9.84,	 Donovan Bailey (CAN),	Atlanta
1997,	9.86,	 Maurice Greene (USA),	Athens
1998,	9.86,	 Ato Boldon (TRI),	Walnut; Athens
1999,	9.79,	 Maurice Greene (USA),	Athens
2000,	9.86,	 Maurice Greene (USA),	Berlin
2001,	9.82,	 Maurice Greene (USA),	Edmonton
2002,	9.89,	 Maurice Greene (USA),	Roma
2003,	9.93,	 Patrick Johnson (AUS)	,Mito
2004,	9.85,	 Justin Gatlin (USA)	,Athens
2005,	9.77,	 Asafa Powell (JAM),	Athens
2006,	9.77,	 Asafa Powell (JAM),	Gateshead; ZUrich
2007,	9.74,	 Asafa Powell (JAM),	Rieti
2008,	9.69,	 Usain Bolt (JAM),	Beijing
2009,	9.58,	 Usain Bolt (JAM),	Berlin
2010,	9.78,	 Tyson Gay (USA) ,       London
     ,       ,     Nesta Carter (JAM)	,Rieti
2011,	9.76,	 Usain Bolt (JAM),	Brussels
2012,	9.63,	 Usain Bolt (JAM),	London
2013,	9.77,	 Usain Bolt (JAM),	Moscow
2014,	9.77,	 Justin Gatlin (USA)	,Brussels
2015,	9.74,	 Justin Gatlin (USA)	,Doha
2016,	9.80,	 Justin Gatlin (USA),	Eugene
